Name,FirstTime,FirstDate,PB,PBDate,OutdoorPB,OutdoorLocation,OutdoorDate,IndoorPB,IndoorLocation,IndoorDate,DOB,Country,FastestTime,FastestDate
brendan matthias,3:58.830,6/20/1990,,,3:58.830,"eugene, or (usa)",6/1/1990,,,,8/12/1969,can,3:58.830,6/20/1990
steve howard,3:58.800,5/14/1997,,,,,,,,,,can,3:58.800,5/14/1997
justin marpole-bird,3:58.760,2/13/2010,,,,,,3:58.760,"seattle, wa (usa)",2/13/2010,3/10/1988,can,3:58.760,2/13/2010
graham hood,3:58.750,1/24/1992,,,3:51.550,"olympiastadion, berlin (ger)",8/26/1997,3:55.700,"fayetteville, ar (usa)",2/15/2003,4/2/1972,can,3:51.550,8/26/1997
peter spir,3:58.710,6/14/1977,,,3:58.710,"eugene, or (usa)",6/14/1977,,,,11/6/1955,can,3:58.710,6/14/1977
andrew ellerton,3:58.680,7/10/2004,,,3:58.680,burnaby (can),7/1/2004,,,,11/18/1983,can,3:58.680,7/10/2004
luc brechet,3:58.600,7/10/2021,,,,,,,,,,can,3:58.600,7/10/2021
paul williams,3:58.600,6/10/1983,,,3:58.600,vancouver (can),6/1/1983,,,,8/7/1956,can,3:58.600,6/10/1983
ryan mckenzie,3:58.520,7/10/2004,,,3:58.520,burnaby (can),7/1/2004,,,,10/13/1978,can,3:58.520,7/10/2004
ken elmer,3:58.500,6/20/1973,,,,,,,,,,can,3:58.500,6/20/1973
ryan hayden,3:58.270,5/18/2002,,,3:58.270,"portland, or (usa)",5/18/2002,3:59.720,"new york, ny (usa)",2/15/2003,1/27/1982,can,3:58.270,5/18/2002
graeme wells,3:58.220,7/25/2008,,,3:58.220,dublin (irl),7/25/2008,,,,6/5/1905,can,3:58.220,7/25/2008
john gay,3:58.140,7/10/2021,,,3:58.140,"swangard stadium, burnaby (can)",7/10/2021,,,,11/7/1996,can,3:58.140,7/10/2021
marc olesen,3:58.080,6/16/1983,,,3:58.080,burnaby (can),6/16/1983,,,,10/13/1964,can,3:58.080,6/16/1983
john craig,3:58.050,8/8/1980,,,,,,,,,,can,3:58.050,8/8/1980
dave reid,3:58.030,6/16/1983,,,3:57.930,edinburgh (gbr),7/23/1985,,,,3/26/1963,can,3:57.930,7/23/1985
keffri w. neal,3:58.020,2/14/2015,,,,,,3:58.020,"ames, ia (usa)",2/14/2015,10/26/1993,can,3:58.020,2/14/2015
ben flanagan,3:57.750,9/5/2018,,,,,,,,,,can,3:57.750,9/5/2018
lucas bruchet,3:57.710,2/10/2014,,,3:58.600,"swangard stadium, burnaby (can)",7/10/2021,3:57.710,"seattle, wa (usa)",2/1/2014,2/23/1991,can,3:57.710,2/10/2014
marco arop,3:57.500,1/31/2021,,,,,,3:57.500,"crossplex athletic facility, birmingham, al (usa)",1/31/2021,9/20/1998,can,3:57.500,1/31/2021
michael woods,3:57.480,7/28/2005,,,3:57.480,windsor (can),7/28/2005,3:57.870,"boston, ma (usa)",1/28/2006,10/12/1986,can,3:57.480,7/28/2005
kieran lumb,3:57.410,7/10/2021,,,3:53.830,"dempsey indoor, seattle, wa (usa)",1/28/2023,3:52.620,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,8/2/1998,can,3:52.620,2/26/2023
cameron proceviat,3:57.350,7/10/2021,,,3:56.130,"jack kemp stadium, los angeles, ca (usa)",7/9/2022,3:52.540,"boston univ. track & tennis center, boston, ma (usa)",2/27/2022,9/20/1993,can,3:52.540,2/27/2022
allan klassen,3:57.310,6/5/1993,,,3:57.310,"eugene, or (usa)",6/5/1993,,,,3/17/1968,can,3:57.310,6/5/1993
olivier collin,3:57.250,4/24/2010,,,3:57.250,"berkeley, ca (usa)",4/24/2010,,,,6/1/1989,can,3:57.250,4/24/2010
matthew beaudet,3:57.220,2/11/2023,,,,,,3:57.220,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,2/28/2000,can,3:57.220,2/11/2023
aaron ahl,3:57.210,7/9/2022,,,3:57.210,"jack kemp stadium, los angeles, ca (usa)",7/9/2022,3:55.600,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,2/25/1999,can,3:55.600,2/26/2023
corey bellemore,3:57.200,1/27/2018,,,3:57.420,cork (irl),7/16/2018,3:57.200,"boston, ma (usa)",1/27/2018,12/1/1994,can,3:57.200,1/27/2018
mohammed ahmed,3:56.600,8/18/2017,,,3:53.870,"hayward field, eugene, or (usa)",8/21/2021,,,,1/5/1991,can,3:53.870,8/21/2021
taylor milne,3:56.540,6/11/2009,,,3:54.290,"walnut, ca (usa)",4/20/2012,3:56.400,"boston, ma (usa)",2/4/2012,9/14/1981,can,3:54.290,4/20/2012
charlie dannatt,3:56.340,7/9/2022,,,3:56.340,"jack kemp stadium, los angeles, ca (usa)",7/9/2022,3:58.540,"boston univ. track & tennis center, boston, ma (usa)",2/11/2023,9/7/1999,can,3:56.340,7/9/2022
doug consiglio,3:55.910,1/25/1986,,,3:57.700,"eugene, or (usa)",7/2/1988,3:55.910,"fayetteville, ar (usa)",1/25/1986,1/10/1964,can,3:55.910,1/25/1986
dave hill,3:55.890,8/26/1977,,,3:55.900,berlin (ger),8/26/1977,,,,12/26/1952,can,3:55.890,8/26/1977
robert heppenstall,3:55.150,8/5/2022,,,3:55.150,"cardinal gibbons high school, raleigh, nc (usa)",8/5/2022,,,,2/28/1997,can,3:55.150,8/5/2022
charles philibert-thiboutot,3:53.820,5/28/2022,,,3:52.970,"falmouth high school, falmouth, ma (usa)",8/14/2021,3:55.280,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,12/31/1990,can,3:52.970,8/14/2021
kurt benninger,3:56.990,8/9/2008,,,3:56.990,"falmouth, ma (usa)",8/9/2008,3:58.520,"bloomington, in (usa)",1/29/2010,1/1/1985,can,3:56.990,8/9/2008
benjamin flanagan,3:57.750,9/5/2018,,,3:57.750,"bay shore, ny (usa)",9/5/2018,,,,1/11/1995,can,3:57.750,9/5/2018
dave campbell,3:58.010,7/18/1986,,,3:58.010,birmingham (gbr),7/18/1986,3:58.460,"fairfax, va (usa)",2/15/1987,8/31/1960,can,3:58.010,7/18/1986
kenneth elmer,3:58.500,6/20/1973,,,3:58.500,"eugene, or (usa)",6/20/1973,,,,4/24/1948,can,3:58.500,6/20/1973
jean-simon desgagnes,3:58.600,1/30/2022,,,,,,3:58.600,"boston univ. track & tennis center, boston, ma (usa)",1/30/2022,7/26/1998,can,3:58.600,1/30/2022
zachary whitmarsh,3:58.780,2/1/2002,,,,,,3:58.780,"fayetteville, ar (usa)",2/1/2002,4/5/1977,can,3:58.780,2/1/2002
eric lutz,3:59.400,2/12/2022,,,,,,3:59.400,"boston univ. track & tennis center, boston, ma (usa)",2/12/2022,6/20/1905,can,3:59.400,2/12/2022
rich tremain,3:59.710,8/20/2000,,,3:59.710,"falmouth, ma (usa)",8/20/2000,,,,5/30/1971,can,3:59.710,8/20/2000
ming gu,3:59.750,6/3/2006,,,3:59.750,"new york, ny (usa)",6/3/2006,,,,4/24/1984,chn,3:59.750,6/3/2006
jacinto german navarrete,3:59.870,2/13/1987,,,,,,3:59.870,"moscow, id (usa)",2/13/1987,8/1/1962,col,3:59.870,2/13/1987
juan diego castro,3:57.780,2/7/2021,,,,,,3:57.780,"randal tyson indoor center, fayetteville, ar (usa)",2/7/2021,5/17/2000,crc,3:57.780,2/7/2021
bosko bozinovic,3:59.600,6/13/1979,,,3:59.510,wien (aut),6/13/1979,,,,9/27/1949,cro,3:59.510,6/13/1979
branko zorko,3:59.450,5/22/1993,,,3:52.640,stockholm (swe),8/5/1998,,,,7/1/1967,cro,3:52.640,8/5/1998
luis medina,3:58.100,5/11/1979,,,3:58.100,kingston (jam),5/11/1979,,,,6/21/1952,cub,3:58.100,5/11/1979
amine khadiri,3:59.330,7/18/2017,,,3:59.330,cork (irl),7/18/2017,,,,11/20/1988,cyp,3:59.330,7/18/2017
filip sasinek,3:57.620,2/2/2023,,,3:59.020,"mestsky stadion, ostrava (cze)",6/20/2019,3:57.620,"atleticka hala, ostrava (cze)",2/2/2023,1/8/1996,cze,3:57.620,2/2/2023
jakub holusa,3:56.750,6/4/2010,,,3:53.460,"bislett stadion, oslo (nor)",6/11/2015,,,,2/20/1988,cze,3:53.460,6/11/2015
mogens guldberg,3:59.120,2/26/1988,,,3:53.340,lausanne (sui),7/10/1991,3:59.130,zaragoza (esp),2/26/1988,8/2/1963,den,3:53.340,7/10/1991
gunnar nielsen,3:59.100,6/10/1956,,,3:59.100,"compton, ca (usa)",6/2/1956,,,,3/25/1928,den,3:59.100,6/10/1956
niels hjorth,3:58.850,7/10/1983,,,,,,,,,,den,3:58.850,7/10/1983
robert kiplagat andersen,3:58.540,,,,3:50.790,"olympiastadion, berlin (ger)",8/26/1997,,,,12/12/1972,den,3:50.790,8/26/1997
ruben sorensen,3:57.700,9/9/1979,,,3:57.160,london (gbr),9/14/1979,,,,5/7/1905,den,3:57.160,9/14/1979
tom hansen,3:57.600,7/8/1974,3:54.780,6/30/1975,,,,,,,,den,3:54.780,6/30/1975
tom birger hansen,3:54.780,6/30/1975,,,3:54.780,stockholm (swe),6/30/1975,,,,2/25/1948,den,3:54.780,6/30/1975
niels kim hjort,3:58.850,7/9/1983,,,3:58.850,cwmbran (gbr),7/9/1983,,,,6/29/1959,den,3:58.850,7/9/1983
lars brgh,3:59.370,7/16/1988,,,3:59.370,gateshead (gbr),7/16/1988,,,,9/29/1964,den,3:59.370,7/16/1988
abdi waiss,3:57.970,5/30/2015,,,3:57.970,"hayward field, eugene, or (usa)",5/30/2015,,,,7/3/1996,dji,3:57.970,5/30/2015
ayanleh souleiman,3:50.210,6/20/2012,,,3:47.320,"hayward field, eugene, or (usa)",5/31/2014,,,,12/3/1992,dji,3:47.320,5/31/2014
mumin gala,3:57.820,8/11/2007,,,3:57.820,stretford (gbr),8/11/2007,,,,4/6/1986,dji,3:57.820,8/11/2007
steve agar,3:57.770,5/25/1997,,,3:57.770,"eugene, or (usa)",5/25/1997,,,,6/6/1968,dma,3:57.770,5/25/1997
ignacio fontes,3:59.820,7/10/2021,,,3:54.380,"hayward field, eugene, or (usa)",5/28/2022,,,,6/22/1998,esp,3:54.380,5/28/2022
adelino hidalgo,3:59.590,7/13/1988,,,3:59.590,barcelona (esp),7/13/1988,,,,3/8/1963,esp,3:59.590,7/13/1988
manuel pancorbo,3:59.580,7/13/1988,,,3:52.960,oslo (nor),7/10/1993,,,,7/7/1966,esp,3:52.960,7/10/1993
benjamin gonzalez,3:59.490,7/8/1984,,,,,,,,,,esp,3:59.490,7/8/1984
jose luis carreira,3:59.320,7/8/1984,,,3:55.940,madrid (esp),6/4/1987,,,,3/30/1962,esp,3:55.940,6/4/1987
carlos suarez,3:59.270,2/26/1999,,,,,,3:59.270,"ames, ia (usa)",2/26/1999,9/29/1975,esp,3:59.270,2/26/1999
alberto esteban,3:59.200,7/20/1968,,,3:59.200,stockholm (swe),7/2/1968,,,,1/6/1943,esp,3:59.200,7/20/1968
antonio burgos,3:59.000,4/23/1974,,,3:59.000,port elizabeth (rsa),4/23/1974,,,,11/28/1949,esp,3:59.000,4/23/1974
jose luis gonzalez,3:58.910,8/27/1979,,,3:47.790,oslo (nor),7/27/1985,3:55.000,"east rutherford, nj (usa)",2/13/1988,12/8/1957,esp,3:47.790,7/27/1985
lorenzo hidalgo,3:58.880,5/30/1990,,,3:58.880,sevilla (esp),5/30/1990,,,,1/7/1965,esp,3:58.880,5/30/1990
alberto garcia,3:58.810,7/19/1998,,,3:58.810,gateshead (gbr),7/19/1998,,,,2/22/1971,esp,3:58.810,7/19/1998
antonio lopez,3:58.590,2/11/2023,,,,,,3:56.790,"liberty indoor complex, lynchburg, va (usa)",2/12/2022,4/15/2000,esp,3:56.790,2/12/2022
alvaro rodriguez,3:58.150,6/9/2011,,,3:58.150,"bislett stadion, oslo (nor)",6/9/2011,,,,5/25/1987,esp,3:58.150,6/9/2011
javier moro,3:58.020,2/15/2001,,,,,,3:58.020,stockholm (swe),2/15/2001,4/16/1975,esp,3:58.020,2/15/2001
alberto sanchez,3:57.970,7/17/2013,,,3:57.970,dublin (irl),7/17/2013,,,,10/19/1988,esp,3:57.970,7/17/2013
teofilo benito,3:57.710,6/4/1987,,,3:55.880,jerez de la frontera (esp),9/17/1991,,,,7/22/1966,esp,3:55.880,9/17/1991
diego ruiz,3:57.210,6/9/2011,,,3:57.210,"bislett stadion, oslo (nor)",6/9/2011,,,,2/5/1982,esp,3:57.210,6/9/2011
jose manuel abascal,3:57.170,6/10/1982,,,3:50.540,"stadio olimpico, roma (ita)",9/10/1986,3:52.560,"east rutherford, nj (usa)",2/27/1983,3/17/1958,esp,3:50.540,9/10/1986
sergio gallardo,3:56.780,9/7/2003,,,3:52.850,oslo (nor),6/15/2007,,,,3/22/1979,esp,3:52.850,6/15/2007
andres diaz,3:56.190,7/19/1998,3:48.380,6/29/2001,,,,,,,,esp,3:48.380,6/29/2001
angel farina,3:56.190,9/17/1991,,,3:56.190,jerez de la frontera (esp),9/17/1991,,,,5/21/1967,esp,3:56.190,9/17/1991
reyes estevez,3:55.900,8/27/1995,,,3:51.820,"stadio olimpico, roma (ita)",7/12/2002,3:53.490,stockholm (swe),2/15/2001,8/2/1976,esp,3:51.820,7/12/2002
andres vera,3:55.330,7/21/1984,,,3:55.330,oslo (nor),7/21/1984,,,,12/31/1960,esp,3:55.330,7/21/1984
david bustos,3:53.400,6/13/2013,,,3:53.400,"bislett stadion, oslo (nor)",6/13/2013,,,,8/25/1990,esp,3:53.400,6/13/2013
mario garcia,3:53.360,2/11/2022,,,3:47.690,"hayward field, eugene, or (usa)",9/16/2023,3:51.790,"armory track&field center, new york, ny (usa)",2/11/2023,6/29/1999,esp,3:47.690,9/16/2023
isaac viciosa,3:52.720,7/22/1994,,,3:52.720,"bislett stadion, oslo (nor)",7/22/1994,3:59.340,"new york, ny (usa)",2/7/1997,12/26/1969,esp,3:52.720,7/22/1994
juan carlos higuero,3:52.490,7/12/2002,,,3:52.490,"stadio olimpico, roma (ita)",7/12/2002,,,,8/3/1978,esp,3:52.490,7/12/2002
arturo casado,3:52.380,6/15/2007,,,3:52.380,oslo (nor),6/15/2007,,,,1/26/1983,esp,3:52.380,6/15/2007
fermin cacho,3:50.740,7/6/1991,,,3:49.560,oslo (nor),7/5/1996,,,,2/16/1969,esp,3:49.560,7/5/1996
jose antonio redolat,3:49.600,6/29/2001,,,3:49.600,"stadio olimpico, roma (ita)",6/29/2001,,,,2/17/1976,esp,3:49.600,6/29/2001
andres manuel diaz,3:48.380,6/29/2001,,,3:48.380,"stadio olimpico, roma (ita)",6/29/2001,,,,7/12/1969,esp,3:48.380,6/29/2001
saul ordonez,3:55.270,2/6/2022,,,,,,3:55.270,"ocean breeze athl. complex, new york, ny (usa)",2/6/2022,4/10/1994,esp,3:55.270,2/6/2022
benjamin fernandez,3:59.490,7/8/1984,,,3:59.490,barcelona (esp),7/8/1984,,,,10/12/1955,esp,3:59.490,7/8/1984
jaime lopez,3:59.600,6/18/1982,,,3:59.600,barcelona (esp),6/18/1982,,,,4/5/1955,esp,3:59.600,6/18/1982
tiidrek nurme,3:59.740,8/9/2011,,,3:59.740,viljandi (est),8/9/2011,,,,11/18/1985,est,3:59.740,8/9/2011
nikolai vedehin,3:59.930,8/25/2012,,,3:59.930,tallinn (est),8/25/2012,,,,10/9/1985,est,3:59.930,8/25/2012
girma bekele,3:59.410,4/27/2013,,,3:59.410,"des moines, ia (usa)",4/27/2013,,,,12/29/1992,eth,3:59.410,4/27/2013
hailu ebba,3:59.300,4/15/1972,,,3:57.800,"baton rouge, la (usa)",6/9/1973,,,,12/12/1950,eth,3:57.800,6/9/1973
berhanu alemu,3:58.950,6/28/2002,,,3:58.950,oslo (nor),6/28/2002,3:57.760,"new york, ny (usa)",2/3/2007,7/16/1982,eth,3:57.760,2/3/2007
million wolde,3:58.210,6/27/1999,,,3:58.210,gateshead (gbr),6/27/1999,,,,3/17/1979,eth,3:58.210,6/27/1999
alemayehu roba,3:58.130,7/19/1992,,,3:59.130,cwmbran (gbr),7/12/1992,,,,10/27/1972,eth,3:58.130,7/19/1992
daniel zegeye,3:57.920,5/27/2001,,,3:57.400,"portland, or (usa)",6/3/2001,3:58.920,"boston, ma (usa)",1/27/2002,3/13/1979,eth,3:57.400,6/3/2001
taresa tolosa,3:57.920,6/7/2018,,,3:57.920,"bislett stadion, oslo (nor)",6/7/2018,,,,6/15/1998,eth,3:57.920,6/7/2018
adehena kasaye,3:57.870,2/23/2023,,,3:57.870,"lakeside stadium, melbourne (aus)",2/23/2023,,,,9/13/2003,eth,3:57.870,2/23/2023
haile gebrselassie,3:57.600,8/22/1997,,,3:52.390,gateshead (gbr),6/27/1999,,,,4/18/1973,eth,3:52.390,6/27/1999
dawit wolde,3:57.480,6/10/2012,,,3:54.510,"hayward field, eugene, or (usa)",6/1/2013,3:54.020,athlone (irl),2/17/2016,5/19/1991,eth,3:54.020,2/17/2016
mohammed aman,3:57.140,6/4/2011,,,3:57.140,"hayward field, eugene, or (usa)",6/4/2011,,,,1/10/1994,eth,3:57.140,6/4/2011
yomif kejelcha,3:56.950,1/27/2018,,,3:58.240,"cobb track and angell field, palo alto, ca (usa)",6/30/2019,3:47.010,"boston, ma (usa)",3/3/2019,8/1/1997,eth,3:47.010,3/3/2019
tesfaye cheru,3:56.500,6/10/2012,,,3:56.500,"hayward field, eugene, or (usa)",6/1/2012,,,,3/2/1993,eth,3:56.500,6/10/2012
kenenisa bekele,3:56.200,2/17/2007,,,,,,,,,,eth,3:56.200,2/17/2007
samuel zeleke,3:55.230,6/16/2022,,,3:55.230,"bislett stadion, oslo (nor)",6/16/2022,,,,3/9/1999,eth,3:55.230,6/16/2022
henok legesse,3:54.810,6/7/2009,,,3:54.810,"eugene, or (usa)",6/7/2009,3:58.060,"boston, ma (usa)",2/5/2011,9/19/1988,eth,3:54.810,6/7/2009
hailu mekonnen,3:54.780,2/13/2000,,,3:53.400,"bislett stadion, oslo (nor)",7/28/2000,3:54.780,lievin (fra),2/13/2000,4/4/1980,eth,3:53.400,7/28/2000
aman wote,3:54.730,6/10/2012,,,3:48.600,"hayward field, eugene, or (usa)",5/31/2014,,,,4/18/1984,eth,3:48.600,5/31/2014
samuel tefera,3:51.260,5/26/2018,,,3:49.450,"olympic stadium, london (gbr)",7/21/2019,3:55.860,"ait international arena, athlone (irl)",2/12/2020,10/23/1999,eth,3:49.450,7/21/2019
yenew alamirew,3:50.430,6/4/2011,,,3:50.430,"hayward field, eugene, or (usa)",6/4/2011,,,,5/27/1990,eth,3:50.430,6/4/2011
deresse mekonnen,3:49.720,6/6/2008,,,3:48.950,"bislett stadion, oslo (nor)",7/3/2009,3:54.110,lievin (fra),2/10/2009,10/20/1987,eth,3:48.950,7/3/2009
mekonnen gebremedhin,3:49.700,6/4/2011,,,3:49.700,"hayward field, eugene, or (usa)",6/4/2011,,,,10/11/1988,eth,3:49.700,6/4/2011
deriba degefa,3:57.920,6/17/2009,,,3:57.920,ostrava (cze),6/17/2009,,,,6/9/1987,eth,3:57.920,6/17/2009
faisa dame tasama,3:58.740,7/21/2007,,,3:58.740,brasschaat (bel),7/21/2007,,,,10/12/1987,eth,3:58.740,7/21/2007
seyoum negatu,3:59.810,6/7/1981,,,3:59.810,gateshead (gbr),6/7/1981,,,,5/9/1905,eth,3:59.810,6/7/1981
olavi salonen,3:59.100,8/21/1962,,,3:59.100,helsinki (fin),8/21/1962,,,,12/20/1933,fin,3:59.100,8/21/1962
olavi vuorisalo,3:59.100,8/7/1957,,,3:59.100,naantali (fin),8/7/1957,,,,4/5/1933,fin,3:59.100,8/7/1957
eero kytola,3:58.610,7/20/1987,,,3:58.610,helsinki (fin),7/2/1987,,,,8/10/1962,fin,3:58.610,7/20/1987
antti loikkanen,3:57.600,7/30/1977,,,3:56.180,stockholm (swe),7/3/1978,3:58.200,"los angeles, ca (usa)",1/20/1979,4/15/1955,fin,3:56.180,7/3/1978
pekka vasala,3:57.200,7/5/1972,,,3:57.130,stockholm (swe),7/1/1974,,,,4/17/1948,fin,3:57.130,7/1/1974
jari venalainen,3:56.810,7/20/1987,,,3:56.810,helsinki (fin),7/2/1987,,,,8/21/1967,fin,3:56.810,7/20/1987
harri hanninen,3:56.610,7/30/1990,,,3:56.610,kemi (fin),7/3/1990,,,,10/18/1963,fin,3:56.610,7/30/1990
ari paunonen,3:55.650,6/26/1977,,,3:55.650,london (gbr),6/26/1977,,,,3/10/1958,fin,3:55.650,6/26/1977
santtu heikkinen,3:56.360,8/26/2023,,,3:56.360,"university of stirling track, stirling (gbr)",8/26/2023,,,,6/12/2002,fin,3:56.360,8/26/2023
jukka savonheimo,3:56.370,7/3/1990,,,3:56.370,kemi (fin),7/3/1990,,,,10/20/1966,fin,3:56.370,7/3/1990
alex gonzalez,3:59.990,8/17/1980,3:52.780,7/14/1981,,,,,,,,fra,3:52.780,7/14/1981
philippe collard,3:59.980,9/13/1987,,,3:59.980,metz (fra),9/11/1987,,,,2/26/1960,fra,3:59.980,9/13/1987
gerard vervoort,3:59.900,6/9/1965,,,3:59.900,rennes (fra),6/9/1965,,,,5/6/1936,fra,3:59.900,6/9/1965
michel jazy,3:59.800,10/3/1962,,,3:53.600,rennes (fra),6/9/1965,,,,6/13/1936,fra,3:53.600,6/9/1965
baptiste mischler,3:59.720,7/30/2020,,,3:59.720,"stadion allmend, luzern (sui)",7/3/2020,,,,11/23/1997,fra,3:59.720,7/30/2020
remy geoffroy,3:59.360,9/13/1987,,,3:55.310,"letzigrund, zurich (sui)",8/17/1988,,,,3/22/1963,fra,3:55.310,8/17/1988
abdelkader chekhemani,3:59.220,7/16/1998,,,3:55.570,paris (fra),7/29/1998,,,,7/18/1971,fra,3:55.570,7/29/1998
bruno levant,3:59.180,9/13/1987,,,3:59.180,metz (fra),9/11/1987,,,,1/24/1960,fra,3:59.180,9/13/1987
claude nicolas,3:59.100,6/20/1965,,,3:59.100,st-maur (fra),6/2/1965,,,,9/21/1941,fra,3:59.100,6/20/1965
cyrille laventure,3:59.000,8/20/1985,,,3:59.000,london (gbr),8/2/1985,,,,3/29/1964,fra,3:59.000,8/20/1985
anass zouhry,3:58.870,2/27/2016,,,,,,3:58.870,"seattle, wa (usa)",2/27/2016,5/15/1991,fra,3:58.870,2/27/2016
nadir bosch,3:58.490,2/12/1997,,,3:52.040,bruxelles (bel),8/25/2000,3:58.490,gent (bel),2/12/1997,5/16/1973,fra,3:52.040,8/25/2000
mael gouyette,3:58.380,2/26/2023,,,3:53.630,"tsv stadion, pfungstadt (ger)",9/6/2023,3:58.380,"boston univ. track & tennis center, boston, ma (usa)",2/26/2023,5/21/1999,fra,3:53.630,9/6/2023
guillaume adam,3:58.380,2/11/2017,,,,,,3:58.380,"boston, ma (usa)",2/11/2017,1/15/1990,fra,3:58.380,2/11/2017
simon bedard,3:58.340,2/5/2022,,,3:58.340,"loftus sports center, south bend, in (usa)",2/5/2022,,,,1/3/1997,fra,3:58.340,2/5/2022
michel bernard,3:58.200,7/8/1963,,,3:58.200,cambrai (fra),7/8/1963,,,,12/31/1931,fra,3:58.200,7/8/1963
azeddine habz,3:57.780,5/14/2022,,,3:48.640,"hayward field, eugene, or (usa)",9/16/2023,,,,7/19/1993,fra,3:48.640,9/16/2023
brahim el ghazali,3:57.750,7/12/1990,,,3:55.380,villeneuve d'ascq (fra),7/1/1991,,,,1/1/1968,fra,3:55.380,7/1/1991
jacky boxberger,3:57.600,9/7/1971,,,,,,,,,,fra,3:57.600,9/7/1971
francis gonzalez,3:57.300,9/25/1978,,,3:53.020,lausanne (sui),7/14/1981,,,,2/6/1952,fra,3:53.020,7/14/1981
jean wadoux,3:57.200,6/20/1965,,,3:57.200,st-maur (fra),6/2/1965,,,,1/29/1942,fra,3:57.200,6/20/1965
mickael damian,3:55.760,3/10/1994,,,,,,3:55.760,karlsruhe (ger),3/1/1994,11/9/1969,fra,3:55.760,3/10/1994
fabio fornarelli,3:55.510,5/15/2022,,,,,,,,,,fra,3:55.510,5/15/2022
dominique bouchard,3:55.260,7/13/1987,,,3:55.260,nice (fra),7/13/1987,,,,2/4/1963,fra,3:55.260,7/13/1987
bouabdellah tahri,3:52.950,7/12/2002,,,3:52.950,"stadio olimpico, roma (ita)",7/12/2002,3:56.110,lievin (fra),2/10/2009,12/20/1978,fra,3:52.950,7/12/2002
driss maazouzi,3:52.620,8/20/1998,,,3:51.790,bruxelles (bel),8/25/2000,,,,10/15/1969,fra,3:51.790,8/25/2000
herve phelippeau,3:52.570,8/18/1989,,,3:52.570,"olympiastadion, berlin (ger)",8/18/1989,,,,9/16/1962,fra,3:52.570,8/18/1989
mehdi baala,3:52.510,2/10/2009,,,,,,3:52.510,lievin (fra),2/10/2009,8/17/1978,fra,3:52.510,2/10/2009
said chebili,3:52.210,7/16/1997,,,3:52.210,nice (fra),7/16/1997,3:58.340,lievin (fra),2/13/2000,5/6/1973,fra,3:52.210,7/16/1997
pascal thiebaut,3:52.020,7/21/1984,,,3:52.020,oslo (nor),7/21/1984,,,,6/6/1959,fra,3:52.020,7/21/1984
eric dubus,3:54.160,3/1/1994,,,3:50.330,zurich (sui),8/16/1995,3:54.160,karlsruhe (ger),3/1/1994,2/28/1966,fra,3:50.330,8/16/1995
jose marajo,3:50.980,7/9/1983,,,3:50.980,oslo (nor),7/9/1983,,,,8/10/1954,fra,3:50.980,7/9/1983
mahiedine mekhissi,3:51.550,6/11/2014,,,3:51.550,"bislett stadion, oslo (nor)",6/11/2014,,,,3/15/1985,fra,3:51.550,6/11/2014
jamale aarrass,3:52.210,4/20/2012,,,3:52.210,"walnut, ca (usa)",4/20/2012,,,,11/15/1981,fra,3:52.210,4/20/2012
alexandre gonzalez,3:52.780,7/14/1981,,,3:52.780,lausanne (sui),7/14/1981,,,,3/16/1951,fra,3:52.780,7/14/1981
arthur gervais,3:53.170,9/6/2023,,,3:53.170,"tsv stadion, pfungstadt (ger)",9/6/2023,,,,2/28/2000,fra,3:53.170,9/6/2023
jacques boxberger,3:57.600,9/7/1971,,,3:57.600,berlin (ger),9/7/1971,,,,4/16/1949,fra,3:57.600,9/7/1971
samir benfares,3:59.150,9/3/1997,,,3:59.150,rieti (ita),9/3/1997,,,,6/6/1968,fra,3:59.150,9/3/1997
harald olbrich,3:59.330,8/21/1985,,,3:59.330,"letzigrund, zurich (sui)",8/21/1985,,,,2/3/1959,frg,3:59.330,8/21/1985
frank zimmermann,3:59.290,8/18/1978,,,3:59.290,berlin (ger),8/18/1978,,,,8/10/1955,frg,3:59.290,8/18/1978
werner gosewinkel,3:59.100,7/20/1968,,,3:59.100,stockholm (swe),7/2/1968,,,,3/6/1947,frg,3:59.100,7/20/1968
paul-heinz wellmann,3:58.900,7/5/1972,,,3:56.260,"philadelphia, pa (usa)",8/4/1976,,,,3/31/1952,frg,3:56.260,8/4/1976
harald norpoth,3:58.800,5/19/1966,,,3:57.200,berlin (ger),9/7/1971,,,,8/22/1942,frg,3:57.200,9/7/1971
dieter baumann,3:58.770,8/16/1985,,,3:51.120,"olympiastadion, berlin (ger)",8/21/1992,3:58.460,sindelfingen (ger),2/5/1988,2/9/1965,frg,3:51.120,8/21/1992
ralf eckert,3:58.420,7/8/1986,,,3:58.420,cork (irl),7/8/1986,,,,4/30/1959,frg,3:58.420,7/8/1986
andreas baranski,3:58.400,8/8/1980,,,3:58.400,berlin (ger),8/8/1980,,,,3/10/1960,frg,3:58.400,8/8/1980
michael lederer,3:58.300,8/29/1977,,,3:57.740,frankfurt (ger),9/5/1978,,,,6/26/1955,frg,3:57.740,9/5/1978
uwe becker,3:57.700,8/8/1980,,,3:52.360,koblenz (ger),8/25/1982,,,,12/10/1955,frg,3:52.360,8/25/1982
